status,type,origin,destination,trip_sub1,url,error
PASS,flight,London,Seoul,guide_london_seoul_flights,"https://sg.trip.com/flights/London-to-Seoul/tickets-LON-SEL?flighttype=S&dcity=LON&acity=SEL&Allianceid=10173661&SID=328960094&trip_sub1=guide_london_seoul_flights&trip_sub3=D19382862",""
PASS,flight,London,Dubai,guide_london_dubai_flights,"https://sg.trip.com/flights/London-to-Dubai/tickets-LON-DXB?flighttype=S&dcity=LON&acity=DXB&Allianceid=10173661&SID=328960094&trip_sub1=guide_london_dubai_flights&trip_sub3=D19382862",""
PASS,flight,London,Cancun,guide_london_cancun_flights,"https://sg.trip.com/flights/London-to-Cancun/tickets-LON-CUN?flighttype=S&dcity=LON&acity=CUN&Allianceid=10173661&SID=328960094&trip_sub1=guide_london_cancun_flights&trip_sub3=D19382862",""
PASS,flight,New York,Tokyo,guide_new_york_tokyo_flights,"https://sg.trip.com/flights/New%20York-to-Tokyo/tickets-NYC-TYO?flighttype=S&dcity=NYC&acity=TYO&Allianceid=10173661&SID=328960094&trip_sub1=guide_new_york_tokyo_flights&trip_sub3=D19382862",""
PASS,flight,New York,Bangkok,guide_new_york_bangkok_flights,"https://sg.trip.com/flights/New%20York-to-Bangkok/tickets-NYC-BKK?flighttype=S&dcity=NYC&acity=BKK&Allianceid=10173661&SID=328960094&trip_sub1=guide_new_york_bangkok_flights&trip_sub3=D19382862",""
PASS,flight,New York,Paris,guide_new_york_paris_flights,"https://sg.trip.com/flights/New%20York-to-Paris/tickets-NYC-PAR?flighttype=S&dcity=NYC&acity=PAR&Allianceid=10173661&SID=328960094&trip_sub1=guide_new_york_paris_flights&trip_sub3=D19382862",""
PASS,flight,New York,Rome,guide_new_york_rome_flights,"https://sg.trip.com/flights/New%20York-to-Rome/tickets-NYC-ROM?flighttype=S&dcity=NYC&acity=ROM&Allianceid=10173661&SID=328960094&trip_sub1=guide_new_york_rome_flights&trip_sub3=D19382862",""
PASS,flight,New York,Bali,guide_new_york_bali_flights,"https://sg.trip.com/flights/New%20York-to-Bali/tickets-NYC-DPS?flighttype=S&dcity=NYC&acity=DPS&Allianceid=10173661&SID=328960094&trip_sub1=guide_new_york_bali_flights&trip_sub3=D19382862",""
PASS,flight,New York,Singapore,guide_new_york_singapore_flights,"https://sg.trip.com/flights/New%20York-to-Singapore/tickets-NYC-SIN?flighttype=S&dcity=NYC&acity=SIN&Allianceid=10173661&SID=328960094&trip_sub1=guide_new_york_singapore_flights&trip_sub3=D19382883",""
PASS,flight,New York,Seoul,guide_new_york_seoul_flights,"https://sg.trip.com/flights/New%20York-to-Seoul/tickets-NYC-SEL?flighttype=S&dcity=NYC&acity=SEL&Allianceid=10173661&SID=328960094&trip_sub1=guide_new_york_seoul_flights&trip_sub3=D19382883",""
